content_clean,source,type
"titulo: recetas saludables contra el frío invernal en el menú semanal del 19 de enero url: fiestas patronales como san antón aparte, superada la mitad de enero ya las fiestas navideñas empiezan a quedarse verdaderamente atrás y el cuerpo pide comida casera reconfortante. nada mejor estos días que un menú semanal lleno de platos nutritivos y sanos, sabrosos y apetecibles, que nos hagan entrar en calor y refugiarnos del frío. las legumbres son las grandes aliadas en estas semanas, sin tener que recurrir obligatoriamente a los potajes y cocidos más contundentes de matanza con sus embutidos y demás avíos. son muy agradecidas también con hortalizas de temporada o incluso ingredientes marineros, ahora que bajan de precio tras las navidades. guisos de toda la vida, sopas, cremas y algún que otro capricho que nos apetezca son las mejores opciones para terminar de aguantar la cuesta de enero. recuerda que el congelador, el táper y utensilios como la freidora de aire son tus grandes amigos para que cocinar y planificar no sea un suplicio. lunes comida . de primero lahanosalata griega y un segundo de unas lentejas con acelgas. . de primero lahanosalata griega y un segundo de unas lentejas con acelgas. cena. sopa con verduras. un vistazo a menu semanal para llevar al trabajo rápido y fácil de hacer martes miércoles jueves viernes sábado domingo newsletter de directo al paladar suscríbete a al fondo hay sitio , una forma distinta de informarte cada semana de la actualidad gastronómica hecha con pasión por el equipo de dap. suscribiéndote aceptas nuestra política de privacidad aperitivos y picoteos desayunos, meriendas y caprichos dulces en dap el truco del origami que te permite cocinar el pescado siempre en su punto en dap hervir pollo: la técnica para tener una carne sana, rica y versátil para aprovechar toda la semana",directoalpaladar,web
"titulo: ejercicio físico en verano url: practicar ejercicio físico en verano requiere tomar ciertas precauciones debido a las altas temperaturas, la mayor exposición al sol y el riesgo de deshidratación. aunque mantenerse activo es fundamental para la salud, el calor extremo puede afectar el rendimiento y aumentar el riesgo de golpes de calor, deshidratación o lesiones. en este artículo, exploraremos cómo ejercitarse en verano de manera segura y efectiva, además de ofrecer consejos sobre hidratación, nutrición y equipación adecuada. toma nota de estos consejos que te planteamos desde nutt. beneficios de realizar ejercicio en verano el verano es una excelente época para mantenerse activo, ya que disponemos de más tiempo libre y hay más oportunidades de practicar deportes al aire libre. además, entrenar en ambientes calurosos puede generar ciertas adaptaciones fisiológicas beneficiosas: aumenta la resistencia : el cuerpo se adapta al calor, mejorando la capacidad de sudoración y termorregulación. : el cuerpo se adapta al calor, mejorando la capacidad de sudoración y termorregulación. favorece la quema de grasa : al aumentar la temperatura corporal, el metabolismo se activa y se queman más calorías. : al aumentar la temperatura corporal, el metabolismo se activa y se queman más calorías. reduce el estrés: la combinación de ejercicio y actividades al aire libre disminuye los niveles de cortisol y mejora el estado de ánimo. recomendaciones para realizar ejercicio físico en verano 1. hidratación: clave para evitar la deshidratación uno de los principales riesgos al entrenar en verano es la deshidratación. la sudoración excesiva provoca pérdida de líquidos y electrolitos, lo que puede derivar en calambres musculares, fatiga e incluso golpes de calor. consejos para mantener una hidratación adecuada: bebe entre 400 600 ml de agua unos 30 60 minutos antes del ejercicio. unos 30 60 minutos antes del ejercicio. durante la actividad, toma pequeños sorbos de agua cada 15 20 minutos . . si el entrenamiento dura más de 60 minutos o es de alta intensidad, consume bebidas isotónicas para reponer sales minerales y glucosa. para reponer sales minerales y glucosa. evita las bebidas azucaradas o alcohólicas, ya que favorecen la deshidratación. consulta nuestro artículo sobre cuánta agua deberíamos beber al día para más información. 2. equipación: ropa adecuada para el calor la vestimenta juega un papel fundamental en el rendimiento y la comodidad al entrenar en verano. para evitar el sobrecalentamiento, elige ropa ligera y transpirable. recomendaciones: usa ropa de colores claros para reflejar el calor. para reflejar el calor. opta por tejidos transpirables y ligeros como poliéster o microfibras técnicas. como poliéster o microfibras técnicas. gorra o visera para proteger la cabeza del sol. para proteger la cabeza del sol. gafas de sol deportivas para reducir la exposición a los rayos uv. para reducir la exposición a los rayos uv. calcetines transpirables y zapatillas con buena ventilación. 3. elige el mejor momento para entrenar en verano, el calor puede ser extremo, por lo que es fundamental elegir las horas adecuadas para entrenar. horario ideal para hacer ejercicio: mañana temprano (6:00 9:00 a.m.) : temperaturas más bajas y menos radiación solar. : temperaturas más bajas y menos radiación solar. tarde noche (8:00 p.m. en adelante): el sol ha bajado y la temperatura es más agradable. evita entrenar entre las 12:00 y las 17:00, ya que es el momento de mayor exposición solar y calor. 4. protección solar: un imprescindible al hacer ejercicio al aire libre, la piel está expuesta a los rayos solares, lo que aumenta el riesgo de quemaduras y envejecimiento prematuro. consejos de protección solar: usa protector solar de amplio espectro (mínimo spf 50) y aplícalo 30 minutos antes de salir. y aplícalo de salir. reaplica cada 2 horas o después de sudar en exceso. o después de sudar en exceso. opta por protectores resistentes al agua y al sudor si realizas actividades acuáticas. si realizas actividades acuáticas. evita la exposición prolongada al sol y busca lugares con sombra. 5. alimentación antes y después del ejercicio mantener una alimentación equilibrada en verano es clave para un buen rendimiento y una óptima recuperación después del ejercicio. antes del entrenamiento: hidratos de carbono de absorción lenta (avena, pan integral, fruta) para energía sostenida. (avena, pan integral, fruta) para energía sostenida. proteínas magras (yogur, claras de huevo) para preservar la masa muscular. (yogur, claras de huevo) para preservar la masa muscular. bebida isotónica o agua para comenzar bien hidratado. después del entrenamiento: recuperar líquidos con agua o bebidas isotónicas. con agua o bebidas isotónicas. proteína y carbohidratos para reparar músculos y reponer glucógeno. para reparar músculos y reponer glucógeno. opciones saludables: batido de frutas con yogur, tortilla con pan integral, ensalada con legumbres. consulta nuestra sección de nutrición deportiva para conocer más sobre la mejor alimentación para entrenar. 6. realiza ejercicios de calentamiento y estiramientos no importa la estación del año, el calentamiento y los estiramientos son fundamentales para prevenir lesiones y mejorar la flexibilidad. consejos: calentamiento: realiza 5 10 minutos de movilidad articular y activación cardiovascular . realiza . estiramientos post entrenamiento: ayuda a reducir la tensión muscular y mejorar la recuperación. ayuda a reducir la tensión muscular y mejorar la recuperación. evita cambios bruscos de temperatura: después de entrenar, no te expongas de inmediato a aire acondicionado o agua fría. 7. escucha a tu cuerpo: señales de alerta es importante estar atento a cualquier síntoma de sobrecalentamiento o deshidratación: síntomas de alarma: mareos o sensación de desmayo. calambres musculares persistentes. piel roja y caliente sin sudor. latidos del corazón acelerados. confusión o desorientación. si experimentas alguno de estos síntomas, suspende la actividad de inmediato, busca un lugar fresco, hidrátate y, si es necesario, solicita ayuda médica. conclusión hacer ejercicio en verano es una excelente manera de mantenerse en forma, pero requiere tomar precauciones adicionales. hidratación, equipación adecuada, protección solar y alimentación equilibrada son fundamentales para entrenar de manera segura. escuchar al cuerpo y adaptar la rutina a las condiciones climáticas marcará la diferencia entre una experiencia positiva y una situación de riesgo. si necesitas asesoramiento en nutrición deportiva y rendimiento, contacta con nutt y descubre cómo mejorar tu entrenamiento de manera saludable. equipo de dietistas de nutt",nutt,web
"titulo: el agua en las comidas no engorda url: el agua es un elemento esencial para la vida y cumple múltiples funciones en el organismo, desde la regulación de la temperatura corporal hasta el transporte de nutrientes. no contiene calorías, por lo que no puede hacernos ganar peso, independientemente del momento en que la consumamos, por lo que el agua en las comidas no engorda y te explicamos porqué. ¿beber agua engorda? la verdad detrás del mito el agua es un elemento esencial para la vida y cumple múltiples funciones en el organismo, desde la regulación de la temperatura corporal hasta el transporte de nutrientes. no contiene calorías, por lo que no puede hacernos ganar peso, independientemente del momento en que la consumamos, por lo que el agua en las comidas no engorda y te explicamos porqué. algunas personas creen que beber agua durante las comidas diluye los jugos gástricos y ralentiza la digestión, lo que supuestamente favorecería el aumento de peso. sin embargo, no hay evidencia científica que respalde esta afirmación. al contrario, algunos estudios han demostrado que beber agua antes o durante la comida puede incluso ayudar a controlar la ingesta calórica. estudio relevante: un estudio publicado en obesity (2015) encontró que las personas que bebían medio litro de agua antes de las comidas consumían menos calorías y perdían más peso en comparación con quienes no lo hacían (parretti et al., 2015). beneficios de beber agua durante las comidas 1 favorece la digestión: el agua ayuda a descomponer los alimentos, facilitando su tránsito por el sistema digestivo. 2 aumenta la sensación de saciedad: beber agua antes o durante la comida puede reducir la cantidad de alimentos consumidos y ayudar en el control del peso. 3 mejora la absorción de nutrientes: mantener una buena hidratación favorece la absorción de vitaminas y minerales. 4 regula el metabolismo: un estudio en the journal of clinical endocrinology metabolism (2003) sugiere que beber agua puede aumentar el gasto energético hasta en un 30 en los siguientes 30 40 minutos (boschmann et al., 2003). 5 previene el estreñimiento: una ingesta adecuada de agua contribuye a mantener un tránsito intestinal saludable. otros mitos sobre el agua y la alimentación mito 1: beber agua fría engorda falso. el agua fría puede incluso aumentar ligeramente el gasto calórico, ya que el cuerpo debe calentarla hasta alcanzar la temperatura corporal. mito 2: beber agua con las comidas provoca hinchazón la hinchazón no está relacionada con el agua, sino con la cantidad y tipo de alimentos consumidos. comer demasiado rápido o ingerir alimentos ricos en sodio puede generar sensación de distensión abdominal. mito 3: el agua con gas es mala para la digestión no hay evidencia de que el agua con gas tenga efectos negativos en la digestión. de hecho, algunos estudios sugieren que podría aliviar síntomas de dispepsia y estreñimiento leve. mito 4: solo debemos beber agua cuando tenemos sed la sed es un mecanismo tardío de alerta. es recomendable mantener una hidratación constante a lo largo del día. si quieres mejorar tu alimentación no dudes en contactarnos programa una visita contacta ya ¿cuánta agua deberíamos beber al día? la cantidad de agua que necesitamos depende de diversos factores como la edad, el nivel de actividad física y la temperatura ambiental. según la autoridad europea de seguridad alimentaria (efsa), la cantidad recomendada es: mujeres: 2 litros (8 vasos) por día hombres: 2,5 litros (10 vasos) por día para saber más sobre este tema, consulta nuestro artículo en nutt: ¿cuánta agua debemos beber al día? conclusión beber agua con las comidas no engorda, no ralentiza la digestión ni provoca hinchazón. al contrario, tiene múltiples beneficios, como favorecer la digestión, aumentar la sensación de saciedad y mejorar el metabolismo. es momento de desterrar estos mitos y entender que el agua es un aliado fundamental en nuestra alimentación y salud general. si necesitas asesoramiento personalizado sobre hidratación y nutrición, contacta con nutt y te ayudaremos a mejorar tu alimentación. nutt, nutricionistas y dietistas en valencia",nutt,web
"titulo: productos bio, veganos, sin gluten, sin azúcar url: sol natural productos ecológicos sol natural te ofrece productos ecológicos para una alimentación saludable. prueba nuestros productos sin gluten, veganos, sin lactosa y sin azúcar añadido.",solnatural,web
"titulo: calabacín rebozado y crujiente en freidora de aire: el aperitivo más sano que se prepara en 10 minutos url: si eres amante de los aperitivos y buscas reemplazar snacks comerciales de escasa calidad nutricional y adictivos como las tradicionales patatas fritas de bolsa, te mostramos cómo elaborar un calabacín rebozado y crujiente en freidora de aire, que resulta una alternativa mucho más sana para preparar en 10 minutos. calabacín rebozado crujiente para reemplazar la tradicional fritura y lograr un calabacín rebozado crujiente mucho más saludable, podemos acudir a la freidora de aire que utiliza una mínima cantidad de aceite pero logra iguales resultados. comenzaremos precalentando la freidora de aire a 180 c y lavando muy bien un calabacín para después secarlo y cortarlo en rodajas de medio centímetro de grosor aproximadamente, conservando su piel. en platos hondos preparamos: 60 gramos de pan rallado mezclado con 20 gramos de parmesano rallado; 40 gramos de harina de trigo mezclada con sal y pimienta negra molida; y un huevo batido. así, comenzamos rebozando las rodajas de calabacín en la mezcla de harina, posteriormente las pasamos por huevo batido, y por último, por la preparación a base de pan rallado, para después colocar cada rodaja de calabacín en el cestillo de la freidora de aire, sin apelmazar y en una sola capa. las rociamos con un poco de aceite y colocamos en la freidora de aire durante ocho minutos, girando las rodajas a mitad de cocción. este plato que se prepara en muy poco tiempo resulta una alternativa ideal para picotear y evitar los snacks comerciales así como las preparaciones fritas colmadas de grasas y calorías, constituyendo un aperitivo muy saludable que aporta una gran cantidad de potasio y fibra, con reducido aporte de grasas y calorías. en vitónica 13 aperitivos frescos y ligeros a base de fruta, para aprovechar esta temporada en vitónica qué dejar de comer para bajar de peso imagen dap",vitonica,web
"titulo: el mayor experto en longevidad del mundo revela los cuatro alimentos que nunca comería: son la receta para el fracaso url: dan buettner ha estudiado durante más de 20 años los hábitos de vida de las personas más longevas del mundo y ha inventado el término de zonas azules en donde viven la mayor cantidad de personas centenarias por metro cuadrado. este gran experto en longevidad desvela los cuatro alimentos que nunca comería. en diferentes investigaciones dan buettner ha ido conociendo cómo viven, que comen, cómo se relacionan y diferentes aspectos de la vida de las personas centenarias que influyen en su longevidad. por eso, revela que la alimentación es uno de los grandes pilares y en concreto el experto nos habla sobre los alimentos que no deberíamos tener en casa, para así no caer en la tentación de comerlos. estos alimentos son muy ricos y nos encanta picotearlos pero son muy poco saludables, y como buettner dice: son la receta para el fracaso , lo que no quita que de vez en cuando nos demos el capricho de su consumo, pero lo mejor es olvidarnos de tenerlo en la despensa para no ingerirlo de forma diaria. refrescos azucarados las bebidas azucaradas no sólo son una de las principales fuentes de azúcares añadidos en la dieta de los americanos y en muchos otros países, sino que su consumo está asociado con el desarrollo de sobrepeso, obesidad, resistencia a la insulina, diabetes, hipertensión, enfermedades cardiovasculares y muchas otras enfermedades crónicas no transmisibles. snacks salados comerciales desde las típicas patatas fritas de bolsa hasta múltiples crackers y todo tipo de ganchitos están estrechamente asociados con la obesidad, pues concentran sodio, almidón y grasas en apreciables cantidades que los vuelve especialmente adictivos. estos alimentos que pueden promover la acumulación excesiva de grasas pueden por ello, desencadenar enfermedades metabólicas con la diabetes tipo 2, cardiopatías, e incluso algunos tipos de cáncer como explica la oms. caramelos y otros chuches los caramelos, golosinas y otros snacks dulces en general como galletas, bombones, chocolatinas, helados y demás, no sólo son fuentes de azúcares libres sino también concentran grasas saturadas, lo cual se traduce en mayor riesgo de obesidad y aterosclerosis. alimentos ultraprocesados en este gran grupo de alimentos no sólo se encuentran los anteriormente nombrados sino también fiambres, embutidos, salchichas, pizzas congeladas, cereales de desayuno, sopas preparadas y otras alternativas de escasa calidad nutricional que poseen un gran número de ingredientes, muchos de ellos de origen industrial, y en los cuales no se reconoce al alimento en su estado natural. para distinguirlos recomendamos mirar el estado de los ingredientes y optar siempre por las alternativas menos procesadas, con menor número de ingredientes y en lo posible, que posean una nula o ínfima cantidad de azúcares añadidos. estos son los cuatro alimentos que el mayor experto en longevidad del mundo recomienda no tener en casa ni consumirlos de forma diaria si queremos tener una vida extensa y saludable. en vitónica postres sin azúcar: las mejores recetas imagen christian clavadetscher, dabuettner y kenny eliason",vitonica,web
"titulo: el picoteo puede arruinar los beneficios de comer saludable, según un estudio url: comer alimentos entre horas es más habitual de lo que pensamos y dependiendo de la calidad de los mismos, podemos condicionar considerablemente nuestra dieta y la salud. así, el picoteo puede arruinar los beneficios de comer saludable, según un estudio. snacks poco sanos y más riesgo cardiometabólico el picoteo o la ingesta de tentempiés entre comidas principales, representa una gran proporción de la ingesta energética diaria; por lo tanto, resulta determinante de la calidad de la dieta general. un estudio publicado en la european journal of nutrition que evalúo a poco más de 1000 personas, detectó que el 95 de los participantes tomaban tentempiés y que la ingesta diaria de snacks fue de 2,28 unidades. el 44 de los participantes no coincidieron en la calidad de las comidas y los snacks, y si bien la frecuencia y la cantidad de energía que aportaba el snack no se asoció con marcadores de riesgo cardiometabólico, sí influenció en la salud el consumo de snacks de escasa calidad nutricional. concretamente, una menor calidad de los tentempiés se asoció con mayores niveles de triglicéridos en ayunas y de triglicéridos postprandiales, así como también con insulina en ayunas superior, mayor índice de resistencia a la insulina y más hambre. todo esto lleva a pensar que aunque cuidar la calidad de las ingestas principales resulta importante, si tomamos snacks o tentempiés ultraprocesados, ricos en azúcares, en grasas o en sodio, podemos estar igualmente perjudicando la salud y arruinando los beneficios de comer sano a lo largo del resto del día. el picoteo puede implicar mucho más para nuestra salud de lo que pensamos y este estudio así lo demuestra. por lo tanto, lo recomendable es acudir a semillas, frutos secos, frutas frescas u otros alimentos de calidad para saciar verdaderamente el hambre y obtener nutrientes sanos entre horas. en vitónica retovitónica: una semana de snacks saludables para picar entre horas de forma sana imagen tyler nix",vitonica,web
"titulo: los tres mejores snacks ricos en proteínas y bajos en hidratos que puedes preparar en casa url: si buscas calmar el hambre de forma efectiva entre horas sin descuidar tu dieta recomendamos evitar los snacks de origen industrial o ultraprocesados de escasa calidad y alto poder adictivo. en su reemplazo, te mostramos tres snacks ricos en proteínas y bajos en hidratos que puedes preparar en casa. debido a su riqueza en proteínas de calidad, de estos platos fáciles de realizar pueden saciarnos de manera efectiva, ofreciéndonos de esta forma un mejor control de la cantidad de alimentos consumidos. así, dejamos tres recetas fáciles y rápidas para preparar nuestros propios snacks en casa: un vistazo a todas las mentiras (y verdades) sobre los batidos de proteínas endivias rellenas de salmón, queso y aguacate con proteínas y grasas de calidad podemos elaborar en minutos y sin cocción, unas endivias rellenas de salmón, queso y aguacate para lo cual sólo tenemos que montar sobre las hojas de envidia fresca y previamente lavada, un poco de salmón ahumado, queso de cabra y aguacate, pudiendo condimentar con zumo de lima, pimienta negra, ajo granulado y sal al gusto. además de ofrecer grasas saludables y proteínas de alto valor biológico, este snack brinda una gran cantidad de vitamina d al organismo derivada principalmente del salmón ahumado pero también del queso que incluye la receta. pastelitos de queso y limón sin azúcar si somos amantes de los snacks dulces, estos pastelitos de queso y limón sin azúcar que solo llevan tres ingredientes, son la alternativa ideal, súper fácil y rápida. sólo tenemos que mezclar 125 gramos de queso fresco batido con un huevo y un par de cucharadas de zumo de limón, pudiendo agregar edulcorante apto para cocción si deseamos aún más sabor dulce. cocinamos en una taza o en un molde pequeño e individual en el microondas durante 2 minutos a máxima potencia y tendremos este snack rico en proteínas y en calcio para degustar y saciarnos con facilidad a cualquier hora del día. mug cake salado o pastel en taza de vegetales con hojas de espinacas frescas o de acelga así como con cualquier otra hortaliza (poca cantidad) que tengamos en casa bien picada y un par de huevos pequeños y queso rallado, podemos crear un mug cake salado o pastel en taza de vegetales. sólo tenemos que lavar y picar finamente o cortar en juliana fina las hortalizas elegidas para después combinar con el queso rallado y los huevos así como las especias y condimentos que más nos apetezcan. colocamos en una taza o recipiente individual apto para microondas y cocinamos a máxima potencia durante 3 minutos en este artefacto. estos son tres snacks ricos en proteínas y bajos en hidratos que fácilmente podemos preparar en casa, para calmar el hambre entre comidas de manera efectiva y con nutrientes sanos para el organismo. en vitónica las mejores recetas bajas en carbohidratos en vitónica cuánta proteína hay que consumir al día imagen vanessa loring y vitónica",vitonica,web
"titulo: marcos vázquez, creador de fitness revolucionario, recomienda estos dos micro entrenamientos de apenas un minuto para mejorar tu salud física y mental url: interrumpir largos períodos sentado con breves momentos de movimiento es una estrategia cada vez más popular para combatir los efectos negativos del sedentarismo. estos breves ejercicios, conocidos como snacks de ejercicio, no requieren mucho tiempo ni preparación y pueden integrarse fácilmente en cualquier rutina diaria. marcos vázquez, reconocido creador de contenido sobre movimiento y salud, propone un par de micro entrenamientos que se pueden hacer en apenas un minuto para poner en práctica los citados snacks de ejercicio. snacktivity : la nueva forma de moverse cuando no tenemos tiempo el estilo de vida moderno está marcado por muchas horas delante del ordenador, la televisión o el móvil, algo que afecta directamente a la salud cardiovascular y metabólica. estudios recientes muestran que incorporar pequeños momentos de ejercicio a lo largo del día puede revertir gran parte de estos efectos negativos, mejorando notablemente nuestra salud general. estos snacks de ejercicio pueden incluir actividades tan simples como subir y bajar escaleras durante un minuto, hacer sentadillas junto al escritorio, o estirar brazos y piernas cada hora. la clave está en interrumpir la inactividad y activar el metabolismo, evitando que el cuerpo permanezca en reposo prolongado. además de sus beneficios físicos, los snacks de ejercicio también contribuyen a mejorar la concentración y productividad en tareas laborales o académicas. tomarse breves descansos activos puede reducir la fatiga mental, incrementando así la capacidad de atención y creatividad. una investigación destacó que incluso solo tres minutos de ejercicio moderado cada hora pueden mejorar significativamente la sensibilidad a la insulina y reducir el riesgo de diabetes tipo 2. estos pequeños pero frecuentes movimientos pueden ser tan efectivos como una sesión tradicional de entrenamiento prolongado. para quienes argumentan que carecen de tiempo para realizar ejercicio formal, esta estrategia resulta ideal. permite mantener un estilo de vida activo sin necesidad de reservar grandes bloques de tiempo para entrenamientos estructurados, facilitando su adherencia a largo plazo. otra ventaja significativa es que los snacks de ejercicio no requieren equipamiento especializado ni espacios específicos. en casa, en la oficina o incluso en la calle, cualquier lugar puede convertirse en un espacio para activar nuestro cuerpo durante unos minutos. este enfoque también es una excelente manera de comenzar a incorporar el ejercicio en la rutina diaria de quienes tienen una vida mayoritariamente sedentaria. el hábito de realizar pequeños movimientos frecuentes es más fácil de mantener y puede abrir la puerta hacia actividades físicas más intensas con el tiempo. levantarse y sentarse en la silla durante un minuto marcos vázquez es uno de los creadores de contenido que revolucionó las publicaciones de fitness hace ya mucho tiempo, de ahí que sea conocido como fitness revolucionario. una de sus recomendaciones es sentarse y levantarse de la silla durante un minuto. se basa en un estudio en personas mayores que observó como, únicamente repitiendo ese minuto de sentarse y levantarse, era suficiente para aumentar la fuerza y masa muscular en personas desentrenadas. ya tenemos el primer micro entrenamiento que podemos hacer ahora mismo y será muy útil, especialmente en personas que no hacen nada de ejercicio. la espera activa de las tareas cotidianas de casa otra recomendación que hace marcos es utilizar esos tiempos muertos mientras se calienta la leche en el microondas, por ejemplo, para moverse. en ese minuto podemos hacer unas flexiones, una plancha frontal, elevaciones de talón para mover la sangre en las piernas y cualquier ejercicio que se te ocurra. puedes crear una premisa que te haga moverte cada día: cada vez que vaya al baño, haré cinco zancadas con cada pierna , o puedes poner una barra de dominadas en casa, de las que se acoplan a una puerta, y cada vez que pases por ella debes hacer cinco dominadas. aquí puedes ser todo lo creativo que quieras. micro entrenamientos si queremos organizar mejor esos tiempos muertos a lo largo del día, podemos diseñar micro entrenamientos muy sencillos que no requieren material. vázquez propone dos ejemplos muy sencillos que marcarán la diferencia si los repites algunas veces cada día. el primero consiste en realizar 15 sentadillas, 10 flexiones y 30 segundos de plancha abdominal. en un minuto habrás movilizado todo el cuerpo y puedes continuar con tu día hasta dentro de una o dos horas, momento en el que puedes volver a romper el sedentarismo de la misma forma. otra opción es hacer jumping jacks, zancadas laterales y dominadas, cada uno durante 20 segundos. de nuevo entrenamos el cuerpo en apenas un minuto y nos servirá para activar músculos. diseña tu propio micro entrenamiento y notarás como ese minuto hace mucho más por ti de lo que crees. referencias islam h, gibala mj, little jp. exercise snacks: a novel strategy to improve cardiometabolic health. exerc sport sci rev. 2022 jan 1;50(1):31 37. doi: 10.1249 jes.0000000000000275. pmid: 34669625. ahmadi mn, clare pj, katzmarzyk pt, del pozo cruz b, lee im, stamatakis e. vigorous physical activity, incident heart disease, and cancer: how little is enough? eur heart j. 2022 dec 7;43(46):4801 4814. doi: 10.1093 eurheartj ehac572. pmid: 36302460; pmcid: pmc9726449. rafiei h, omidian k, myette c té é, little jp. metabolic effect of breaking up prolonged sitting with stair climbing exercise snacks. med sci sports exerc. 2021 jan;53(1):150 158. doi: 10.1249 mss.0000000000002431. pmid: 32555024. perkin oj, mcguigan pm, stokes ka. exercise snacking to improve muscle function in healthy older adults: a pilot study. j aging res. 2019 oct 3;2019:7516939. doi: 10.1155 2019 7516939. pmid: 31687210; pmcid: pmc6794984. en vitónica no tengo tiempo de entrenar ya no es excusa: así puedes obtener todos los beneficios del ejercicio en apenas unos minutos cada día imágenes fitness revolucionario (facebook), freepik",vitonica,web
"titulo: nueces crujientes a las finas hierbas: receta saludable vegana para el aperitivo o regalar url: los frutos secos son el mejor alimento de despensa o fondo de armario que podemos tener en casa, si optamos por opciones saludables. picoteo, snack o complemento de otros platos, de cara a las navidades podemos además darles un toque especial más festivo y que nos puede servir como detalle para regalar, como es el caso de estas ricas nueces. curiosamente las nueces son el fruto seco que habitualmente se consume siempre en crudo, recién abiertas de su cáscara. también podemos tomar almendras, avellanas o cacahuetes en crudo, pero es cierto que son mucho más ricos tostados, mejor si se hace en casa al momento. en este caso vamos a dar a las nueces un punto crujiente y un sabor distinto combinando una mezcla de finas hierbas mediterráneas y un sustituto vegano del queso parmesano, como el rawmesan. es la opción vegana para que sea apta para todos, pero también indicamos los ingredientes para ovolactovegetarianos o para quienes no tengan necesidades alimentarias especiales. si vamos a usar una alternativa vegana al parmesano podemos comprarla o hacer casero un rawmesan. para la aquafaba, abrir un bote de garbanzos y escurrir todo el líquido usando un colador para separarlo de la legumbre, que guardaremos para otra receta. precalentar el horno a 120 c con calor arriba y abajo y preparar una bandeja grande con papel de hornear. mezclar en un cuenco el rawmesan o queso rallado con las hierbas, el ajo, un poco de sal y pimienta. batir con varillas manuales o eléctricas la aquafaba o las claras de huevo en la cantidad indicada, hasta que espumen y crezcan un poco de volumen. añadir las nueces a la espuma y mezclar bien hasta que se distribuya homogéneamente. echar la mezcla de hierbas y remover con suavidad. distribuir las nueces sobre la bandeja de horno, sin amontonarlas, y tostar durante unos 30 minutos, vigilando que no se quemen. dejar enfriar antes de guardar en un recipiente hermético. dani hierbas de provenza sazonador 140 gr. hoy en amazon 3,93 el precio podría variar. obtenemos comisión por estos enlaces con qué acompañar las nueces a las finas hierbas las nueces crujientes serán un picoteo delicioso en cualquier menú o para tomar a lo largo del día, que también podemos servir con los aperitivos de una ocasión especial o para completar ensaladas. en vitónica nueces y almendras con romero, tomillo, mandarina y limón en vitónica turrón de chocolate y almendras con aceite de oliva: receta saludable para un capricho de navidad",vitonica,web
